hhid,head_siblings,debt_ratio_winsorized,log_debt_ratio_winsorized,total_debt,total_assets,head_age,head_is_male,head_educ,head_is_married,head_health,has_business,num_houses,log_total_assets
201105935,,0.7352941176470515,-0.3061256237103395,75000.0,102000.0,73.0,1.0,2.0,1.0,3.0,0.0,1.0,11.532737896139919
2015016355,,0.0,-6.907755278982137,0.0,55001.0,45.0,0.0,2.0,1.0,2.0,0.0,2.0,10.91512482718983
2017003545,3.0,0.0,-6.907755278982137,0.0,1462200.0,39.0,0.0,2.0,1.0,3.0,0.0,1.0,14.19545339274209
2013023784,1.0,0.0,-6.907755278982137,0.0,502500.0,35.0,1.0,7.0,1.0,2.0,0.0,1.0,13.12735290896314
201104840,,0.0,-6.907755278982137,0.0,319400.0,54.0,0.0,4.0,1.0,1.0,0.0,1.0,12.67420264562853
2013006229,,0.7263922518159771,-0.3182893983749311,150000.0,206500.0,41.0,1.0,1.0,1.0,2.0,0.0,1.0,12.238060533986511
2013002161,,0.0,-6.907755278982137,0.0,1595570.0,69.0,0.0,3.0,1.0,4.0,0.0,1.0,14.282742223867023
2015003703,,0.0,-6.907755278982137,0.0,554200.0,55.0,0.0,3.0,1.0,4.0,0.0,1.0,13.22528271581213
2015003280,,0.3862660944205992,-0.9486432397467214,90000.0,233000.0,54.0,1.0,3.0,1.0,3.0,1.0,1.0,12.358798024384122
2017003552,,0.0,-6.907755278982137,0.0,483000.0,43.0,1.0,3.0,1.0,2.0,0.0,1.0,13.087774003025942
2015034935,,0.0,-6.907755278982137,0.0,45400.0,41.0,0.0,1.0,1.0,4.0,0.0,1.0,10.723289410218579
2015004885,,0.09149130832570865,-2.380640602925048,20000.0,218600.0,49.0,0.0,3.0,1.0,3.0,0.0,2.0,12.295003429279529
2017003555,0.0,0.0,-6.907755278982137,0.0,10000.0,31.0,0.0,3.0,1.0,2.0,0.0,0.0,9.210440366976517
2017003556,2.0,0.5197768762677478,-0.6524335894810551,410000.0,788800.0,36.0,0.0,5.0,1.0,2.0,1.0,1.0,13.578269350018237
2013007154,1.0,0.042344086021505245,-3.13858500901823,13783.0,325500.0,39.0,1.0,6.0,1.0,2.0,0.0,1.0,12.693120812822663
2013007861,,0.015373971865631483,-4.112062286263662,100000.0,6504500.0,84.0,0.0,3.0,0.0,3.0,0.0,2.0,15.688004956763457
201101082,,0.0,-6.907755278982137,0.0,151650.0,65.0,1.0,3.0,1.0,1.0,0.0,1.0,11.929337107226209
2017003560,1.0,1.6363636363634875,0.49308740955645886,18000.0,11000.0,22.0,1.0,7.0,0.0,1.0,0.0,0.0,9.305741456739435
2017003561,3.0,1.4506769825918622,0.37271942787415785,150000.0,103400.0,39.0,0.0,2.0,1.0,3.0,0.0,1.0,11.546369912189585
2017003562,2.0,0.08559201141226806,-2.4465477146402614,60000.0,701000.0,37.0,1.0,5.0,1.0,1.0,0.0,2.0,13.460264592549233
201103525,,0.0,-6.907755278982137,0.0,2782200.0,60.0,1.0,2.0,1.0,3.0,0.0,2.0,14.838752899035333
201107755,,3.461538461538373,1.242001979477286,135000.0,39000.0,70.0,1.0,2.0,1.0,3.0,0.0,1.0,10.571342565808699
2013020415,,0.0,-6.907755278982137,0.0,141000.0,50.0,1.0,4.0,1.0,2.0,0.0,0.0,11.856522261533737
2013018443,,0.0,-6.907755278982137,0.0,460000.0,50.0,0.0,2.0,1.0,4.0,0.0,1.0,13.038983942375959
2013017851,,0.0,-6.907755278982137,0.0,758400.0,55.0,1.0,3.0,1.0,2.0,1.0,1.0,13.53896754848748
2017003568,,0.0,-6.907755278982137,0.0,12100.0,64.0,1.0,1.0,1.0,2.0,0.0,1.0,9.401043372798053
2017003569,,0.0,-6.907755278982137,0.0,4003800.0,66.0,0.0,2.0,0.0,2.0,0.0,1.0,15.202754717882447
2015035881,2.0,0.5315614617940129,-0.6300569668496583,40000.0,75250.0,28.0,1.0,7.0,0.0,2.0,1.0,1.0,11.228584471559369
2017003571,1.0,0.0,-6.907755278982137,0.0,1243000.0,29.0,1.0,1.0,1.0,3.0,0.0,1.0,14.033039174997754
2017003572,,0.0,-6.907755278982137,0.0,70000.0,59.0,1.0,4.0,0.0,2.0,0.0,0.0,11.156264806643742
2017003573,,0.0,-6.907755278982137,0.0,371000.0,56.0,1.0,4.0,1.0,2.0,0.0,1.0,12.82396003700373
2013027085,,0.0,-6.907755278982137,0.0,91240.0,58.0,1.0,3.0,1.0,2.0,0.0,1.0,11.42125963644348
201100663,,0.16355140186915812,-1.8045322842176037,35000.0,214000.0,45.0,0.0,2.0,1.0,4.0,1.0,1.0,12.273735966890268
2015029605,,0.9302325581394627,-0.07124623897843825,12000.0,12900.0,64.0,1.0,3.0,1.0,3.0,0.0,1.0,9.465060106725137
2017003577,1.0,0.11461318051575914,-2.157505310941038,80000.0,698000.0,40.0,0.0,7.0,1.0,2.0,0.0,1.0,13.455975814408239
2017003578,,0.2457757296466973,-1.3992753319539686,800000.0,3255000.0,48.0,0.0,3.0,1.0,2.0,1.0,2.0,14.995703140844421
2017003579,,0.0,-6.907755278982137,0.0,401500.0,65.0,0.0,2.0,0.0,2.0,0.0,1.0,12.902965303025876
2013012199,,0.0,-6.907755278982137,0.0,222900.0,75.0,1.0,4.0,1.0,5.0,0.0,1.0,12.31448300568063
